Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
SRX972941,Whole-genome sequencing of Arabidopsis thaliana: Sample 9678,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887840,,2008.15,1,15683402,3136680400,9678,WGS,GENOMIC,RANDOM
SRX972940,Whole-genome sequencing of Arabidopsis thaliana: Sample 9677,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887829,,2181.16,1,16928876,3385775200,9677,WGS,GENOMIC,RANDOM
SRX972939,Whole-genome sequencing of Arabidopsis thaliana: Sample 9676,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887828,,2032.89,1,15172629,3034525800,9676,WGS,GENOMIC,RANDOM
SRX972938,Whole-genome sequencing of Arabidopsis thaliana: Sample 9673,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887827,,5759.81,1,43254683,8650936600,9673,WGS,GENOMIC,RANDOM
SRX972937,Whole-genome sequencing of Arabidopsis thaliana: Sample 9672,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887830,,2026.28,1,15347162,3069432400,9672,WGS,GENOMIC,RANDOM
SRX972936,Whole-genome sequencing of Arabidopsis thaliana: Sample 9671,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887832,,1543.51,1,12780094,2556018800,9671,WGS,GENOMIC,RANDOM
SRX972935,Whole-genome sequencing of Arabidopsis thaliana: Sample 9670,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887517,,1908.42,1,14553183,2910636600,9670,WGS,GENOMIC,RANDOM
SRX972934,Whole-genome sequencing of Arabidopsis thaliana: Sample 9669,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887831,,1497.84,1,12206620,2441324000,9669,WGS,GENOMIC,RANDOM
SRX972933,Whole-genome sequencing of Arabidopsis thaliana: Sample 9668,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887837,,1306.64,1,10665409,2133081800,9668,WGS,GENOMIC,RANDOM
SRX972932,Whole-genome sequencing of Arabidopsis thaliana: Sample 9667,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887834,,1281.07,1,10352537,2070507400,9667,WGS,GENOMIC,RANDOM
SRX972931,Whole-genome sequencing of Arabidopsis thaliana: Sample 9666,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887835,,1408.98,1,11509932,2301986400,9666,WGS,GENOMIC,RANDOM
SRX972930,Whole-genome sequencing of Arabidopsis thaliana: Sample 9665,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887839,,1385.68,1,11310684,2262136800,9665,WGS,GENOMIC,RANDOM
SRX972929,Whole-genome sequencing of Arabidopsis thaliana: Sample 9664,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887843,,1998.13,1,15142709,3028541800,9664,WGS,GENOMIC,RANDOM
SRX972928,Whole-genome sequencing of Arabidopsis thaliana: Sample 9663,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887842,,1682.29,1,13264742,2652948400,9663,WGS,GENOMIC,RANDOM
SRX972927,Whole-genome sequencing of Arabidopsis thaliana: Sample 9661,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887841,,1752.74,1,14232619,2846523800,9661,WGS,GENOMIC,RANDOM
SRX972926,Whole-genome sequencing of Arabidopsis thaliana: Sample 9660,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887516,,1489.44,1,12245633,2449126600,9660,WGS,GENOMIC,RANDOM
SRX972925,Whole-genome sequencing of Arabidopsis thaliana: Sample 9659,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887846,,1711.58,1,13940449,2788089800,9659,WGS,GENOMIC,RANDOM
SRX972924,Whole-genome sequencing of Arabidopsis thaliana: Sample 9658,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887847,,1150.24,1,9462956,1892591200,9658,WGS,GENOMIC,RANDOM
SRX972923,Whole-genome sequencing of Arabidopsis thaliana: Sample 9657,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887848,,1246.56,1,10334084,2066816800,9657,WGS,GENOMIC,RANDOM
SRX972922,Whole-genome sequencing of Arabidopsis thaliana: Sample 9656,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887844,,2033.28,1,15554757,3110951400,9656,WGS,GENOMIC,RANDOM
SRX972921,Whole-genome sequencing of Arabidopsis thaliana: Sample 9655,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887845,,1088.32,1,8885629,1777125800,9655,WGS,GENOMIC,RANDOM
SRX972920,Whole-genome sequencing of Arabidopsis thaliana: Sample 9653,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887852,,1495.27,1,11743796,2348759200,9653,WGS,GENOMIC,RANDOM
SRX972919,Whole-genome sequencing of Arabidopsis thaliana: Sample 9651,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887192,,1300.2,1,10494078,2098815600,9651,WGS,GENOMIC,RANDOM
SRX972918,Whole-genome sequencing of Arabidopsis thaliana: Sample 9649,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887194,,1584.98,1,12901017,2580203400,9649,WGS,GENOMIC,RANDOM
SRX972917,Whole-genome sequencing of Arabidopsis thaliana: Sample 9648,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887193,,747.52,1,6147211,1229442200,9648,WGS,GENOMIC,RANDOM
SRX972916,Whole-genome sequencing of Arabidopsis thaliana: Sample 9647,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887195,,1756.65,1,13473399,2694679800,9647,WGS,GENOMIC,RANDOM
SRX972915,Whole-genome sequencing of Arabidopsis thaliana: Sample 9646,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887197,,1569.19,1,12869053,2573810600,9646,WGS,GENOMIC,RANDOM
SRX972914,Whole-genome sequencing of Arabidopsis thaliana: Sample 9645,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887196,,1356.69,1,10677561,2135512200,9645,WGS,GENOMIC,RANDOM
SRX972913,Whole-genome sequencing of Arabidopsis thaliana: Sample 9644,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887198,,1677.95,1,13300921,2660184200,9644,WGS,GENOMIC,RANDOM
SRX972912,Whole-genome sequencing of Arabidopsis thaliana: Sample 9643,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887200,,1461.65,1,11965001,2393000200,9643,WGS,GENOMIC,RANDOM
SRX972911,Whole-genome sequencing of Arabidopsis thaliana: Sample 9642,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887199,,1149.68,1,9594688,1918937600,9642,WGS,GENOMIC,RANDOM
SRX972910,Whole-genome sequencing of Arabidopsis thaliana: Sample 9641,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887201,,2319.23,1,17734165,3546833000,9641,WGS,GENOMIC,RANDOM
SRX972909,Whole-genome sequencing of Arabidopsis thaliana: Sample 9640,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887202,,1514.94,1,12490673,2498134600,9640,WGS,GENOMIC,RANDOM
SRX972908,Whole-genome sequencing of Arabidopsis thaliana: Sample 9639,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887203,,1726.29,1,13628465,2725693000,9639,WGS,GENOMIC,RANDOM
SRX972907,Whole-genome sequencing of Arabidopsis thaliana: Sample 9638,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887204,,1272.36,1,10181883,2036376600,9638,WGS,GENOMIC,RANDOM
SRX972906,Whole-genome sequencing of Arabidopsis thaliana: Sample 9637,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887208,,1410.54,1,11143464,2228692800,9637,WGS,GENOMIC,RANDOM
SRX972905,Whole-genome sequencing of Arabidopsis thaliana: Sample 9636,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887205,,2362.91,1,19461492,3892298400,9636,WGS,GENOMIC,RANDOM
SRX972904,Whole-genome sequencing of Arabidopsis thaliana: Sample 9635,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887206,,1653.84,1,13493691,2698738200,9635,WGS,GENOMIC,RANDOM
SRX972903,Whole-genome sequencing of Arabidopsis thaliana: Sample 9634,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887207,,1519.54,1,12469416,2493883200,9634,WGS,GENOMIC,RANDOM
SRX972902,Whole-genome sequencing of Arabidopsis thaliana: Sample 9633,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887209,,1134.56,1,9241341,1848268200,9633,WGS,GENOMIC,RANDOM
SRX972901,Whole-genome sequencing of Arabidopsis thaliana: Sample 9632,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887210,,1176.15,1,9797583,1959516600,9632,WGS,GENOMIC,RANDOM
SRX972900,Whole-genome sequencing of Arabidopsis thaliana: Sample 9631,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887211,,2388.13,1,18278103,3655620600,9631,WGS,GENOMIC,RANDOM
SRX972899,Whole-genome sequencing of Arabidopsis thaliana: Sample 9630,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887221,,1470.62,1,11984649,2396929800,9630,WGS,GENOMIC,RANDOM
SRX972898,Whole-genome sequencing of Arabidopsis thaliana: Sample 9629,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887222,,1556.98,1,12233761,2446752200,9629,WGS,GENOMIC,RANDOM
SRX972897,Whole-genome sequencing of Arabidopsis thaliana: Sample 9628,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887212,,1188.24,1,9429487,1885897400,9628,WGS,GENOMIC,RANDOM
SRX972896,Whole-genome sequencing of Arabidopsis thaliana: Sample 9627,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887213,,1045.45,1,8224611,1644922200,9627,WGS,GENOMIC,RANDOM
SRX972895,Whole-genome sequencing of Arabidopsis thaliana: Sample 9626,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887214,,1643.72,1,13288369,2657673800,9626,WGS,GENOMIC,RANDOM
SRX972894,Whole-genome sequencing of Arabidopsis thaliana: Sample 9625,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887215,,1689.72,1,13765135,2753027000,9625,WGS,GENOMIC,RANDOM
SRX972893,Whole-genome sequencing of Arabidopsis thaliana: Sample 9624,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887216,,1476.33,1,12007264,2401452800,9624,WGS,GENOMIC,RANDOM
SRX972892,Whole-genome sequencing of Arabidopsis thaliana: Sample 9622,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887217,,1365.27,1,10839202,2167840400,9622,WGS,GENOMIC,RANDOM
SRX972891,Whole-genome sequencing of Arabidopsis thaliana: Sample 9621,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887218,,2059.32,1,15942846,3188569200,9621,WGS,GENOMIC,RANDOM
SRX972890,Whole-genome sequencing of Arabidopsis thaliana: Sample 9620,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887219,,1415.04,1,11551615,2310323000,9620,WGS,GENOMIC,RANDOM
SRX972889,Whole-genome sequencing of Arabidopsis thaliana: Sample 9619,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887220,,1439.7,1,11421165,2284233000,9619,WGS,GENOMIC,RANDOM
SRX972888,Whole-genome sequencing of Arabidopsis thaliana: Sample 9617,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887223,,1109.77,1,9159119,1831823800,9617,WGS,GENOMIC,RANDOM
SRX972887,Whole-genome sequencing of Arabidopsis thaliana: Sample 9616,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887224,,1967.37,1,15123457,3024691400,9616,WGS,GENOMIC,RANDOM
SRX972886,Whole-genome sequencing of Arabidopsis thaliana: Sample 9615,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887228,,1763.04,1,13917993,2783598600,9615,WGS,GENOMIC,RANDOM
SRX972885,Whole-genome sequencing of Arabidopsis thaliana: Sample 9613,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887226,,1315.36,1,10454087,2090817400,9613,WGS,GENOMIC,RANDOM
SRX972884,Whole-genome sequencing of Arabidopsis thaliana: Sample 9612,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887225,,1481.86,1,12137934,2427586800,9612,WGS,GENOMIC,RANDOM
SRX972883,Whole-genome sequencing of Arabidopsis thaliana: Sample 9611,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887227,,1848.75,1,15067279,3013455800,9611,WGS,GENOMIC,RANDOM
SRX972882,Whole-genome sequencing of Arabidopsis thaliana: Sample 9610,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887229,,1562.1,1,12779341,2555868200,9610,WGS,GENOMIC,RANDOM
SRX972881,Whole-genome sequencing of Arabidopsis thaliana: Sample 9609,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887230,,1473.21,1,12010826,2402165200,9609,WGS,GENOMIC,RANDOM
SRX972880,Whole-genome sequencing of Arabidopsis thaliana: Sample 9608,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887231,,1241.46,1,10138238,2027647600,9608,WGS,GENOMIC,RANDOM
SRX972879,Whole-genome sequencing of Arabidopsis thaliana: Sample 9607,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887233,,1076.46,1,8791051,1758210200,9607,WGS,GENOMIC,RANDOM
SRX972878,Whole-genome sequencing of Arabidopsis thaliana: Sample 9606,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887232,,1424.88,1,11730031,2346006200,9606,WGS,GENOMIC,RANDOM
SRX972877,Whole-genome sequencing of Arabidopsis thaliana: Sample 9602,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887235,,3250.5,1,24695605,4939121000,9602,WGS,GENOMIC,RANDOM
SRX972876,Whole-genome sequencing of Arabidopsis thaliana: Sample 9601,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887234,,2836.34,1,20338538,4067707600,9601,WGS,GENOMIC,RANDOM
SRX972875,Whole-genome sequencing of Arabidopsis thaliana: Sample 9600,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887236,,3253.55,1,23280529,4656105800,9600,WGS,GENOMIC,RANDOM
SRX972874,Whole-genome sequencing of Arabidopsis thaliana: Sample 9599,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887237,,2686.67,1,19233047,3846609400,9599,WGS,GENOMIC,RANDOM
SRX972873,Whole-genome sequencing of Arabidopsis thaliana: Sample 9598,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887238,,2170.84,1,15507881,3101576200,9598,WGS,GENOMIC,RANDOM
SRX972872,Whole-genome sequencing of Arabidopsis thaliana: Sample 9597,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887239,,2726.55,1,19448504,3889700800,9597,WGS,GENOMIC,RANDOM
SRX972871,Whole-genome sequencing of Arabidopsis thaliana: Sample 9596,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887240,,1901.72,1,13564798,2712959600,9596,WGS,GENOMIC,RANDOM
SRX972870,Whole-genome sequencing of Arabidopsis thaliana: Sample 9595,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887241,,2329.14,1,16641229,3328245800,9595,WGS,GENOMIC,RANDOM
SRX972869,Whole-genome sequencing of Arabidopsis thaliana: Sample 9594,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887242,,2758.14,1,19689568,3937913600,9594,WGS,GENOMIC,RANDOM
SRX972868,Whole-genome sequencing of Arabidopsis thaliana: Sample 9593,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887244,,3898.76,1,27847995,5569599000,9593,WGS,GENOMIC,RANDOM
SRX972867,Whole-genome sequencing of Arabidopsis thaliana: Sample 9592,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887243,,3309.82,1,23682108,4736421600,9592,WGS,GENOMIC,RANDOM
SRX972866,Whole-genome sequencing of Arabidopsis thaliana: Sample 9591,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887246,,2520.8,1,18317929,3663585800,9591,WGS,GENOMIC,RANDOM
SRX972865,Whole-genome sequencing of Arabidopsis thaliana: Sample 9590,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887245,,2679.13,1,19457211,3891442200,9590,WGS,GENOMIC,RANDOM
SRX972864,Whole-genome sequencing of Arabidopsis thaliana: Sample 9589,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887247,,2302.03,1,16785407,3357081400,9589,WGS,GENOMIC,RANDOM
SRX972863,Whole-genome sequencing of Arabidopsis thaliana: Sample 9588,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887248,,2454.47,1,17805884,3561176800,9588,WGS,GENOMIC,RANDOM
SRX972862,Whole-genome sequencing of Arabidopsis thaliana: Sample 9587,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887249,,2369.44,1,17201892,3440378400,9587,WGS,GENOMIC,RANDOM
SRX972861,Whole-genome sequencing of Arabidopsis thaliana: Sample 9586,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887250,,2388.09,1,17359430,3471886000,9586,WGS,GENOMIC,RANDOM
SRX972860,Whole-genome sequencing of Arabidopsis thaliana: Sample 9585,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887251,,2989.33,1,21779748,4355949600,9585,WGS,GENOMIC,RANDOM
SRX972859,Whole-genome sequencing of Arabidopsis thaliana: Sample 9584,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887253,,2352.24,1,17061466,3412293200,9584,WGS,GENOMIC,RANDOM
SRX972858,Whole-genome sequencing of Arabidopsis thaliana: Sample 9583,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887252,,2860.72,1,20778059,4155611800,9583,WGS,GENOMIC,RANDOM
SRX972857,Whole-genome sequencing of Arabidopsis thaliana: Sample 9582,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887257,,2741.82,1,19903719,3980743800,9582,WGS,GENOMIC,RANDOM
SRX972856,Whole-genome sequencing of Arabidopsis thaliana: Sample 9581,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887254,,2606.03,1,18968982,3793796400,9581,WGS,GENOMIC,RANDOM
